序号,评论者,评论内容
1,老麦的工具库,"置顶
有良心的up会留下地址：
1.anydoor：https://damo-vilab.github.io/AnyDoor-Page/
2.diffbir：https://github.com/XPixelGroup/DiffBIR
3.tokenflow：https://diffusion-tokenflow.github.io/
4.ProPainter：https://shangchenzhou.com/projects/ProPainter/
5.CodeFormer：https://huggingface.co/spaces/sczhou/CodeFormer
6.generative-dynamics：https://generative-dynamics.github.io/
7.move ai：https://www.move.ai/
8.Wonder Studio：https://wonderdynamics.com/
9.Autofill：其他up贡献的地址：链接：https://pan.baidu.com/s/1m6CY10TDDBuJH7_EFwUyGg?pwd=s5im  提取码：s5im
10.replicate：https://replicate.com/collections/text-to-video"
2,小哲OB,"终于知道什么叫利用信息差赚钱了
比如我没刷到这个视频，天天打游戏，不知道这些发展
有些人就可以用修复一张老图片几块钱几块钱的卖，结果就是AI一键的结果
所以我是真诚的建议，视频剪辑或者ps这些软件应该出现在教学中，让更多的孩子学到这些，或者理解个大概"
3,AI沈阳美食家,"笑点解析：这个视频介绍了10种令人难以置信的AI神器，展示了它们各自的功能和效果。从物体瞬间移动到图像修复、视频抠像、动态效果等，这些AI工具让我们看到了科技的神奇和创新。视频的笑点在于展示了人们用这些AI神器做出的有趣场景，如将花和书瞬间移动到不同位置、从狗变成豹子等，让人忍俊不禁。
@真是赤瞳啊 问的。"
4,fishing30km,"其实AI大家都高估了它的短期能力，低估AI的长期能力 ，很多人认为AI现在已经很厉害 ，但是短期内有一些需求可能无缝精准代替人工，但是如果把这个时间线拉长的话就不一样了 
当然对于AI的投资者而言 他们自然是很乐见其成的让大家更加认可或高估AI的短期能力，因为只有这样AI才会在早期发展的过程中积累更多的资源   包括经济层面。"
5,陈老羊被人用咗,感觉还是很多人没看懂AI的马赛克修复，其实你想的是可以的，AI并不是简单的修复清晰化，也不是无中生有，是投喂大量的那音道的视频和图片，AI就可以根据收集的内容，按马赛克上的大概颜色和轮廓重画组出那里的画面，如果你只看成品可能很真实，但如果对比回原主人真实位置不一定一样
6,恶靈退散散散,大家也不用绝望，AI这东西对于精确度要求比较低的工作，确实挺强的，但是对于精度要求相对较高的工作是非常无力的。
7,五米汤圆,修复马赛克太实用了
8,PRnc星光,"基本上这种
能打开的，一般要付费，即便是免费，你会遇到一下这几个情况
1.你上传的图片不能过超过某某mb
2.你无法下载高清的处理后图片
3.你上传的图片有数量限制
4.你无法正常登录

外网的一般很难打开，即便打开了也会有这样的情况
1.你必须登录，注册流程卡死你
2.登录后也需要会员典型 比如12刀每月等等
3.网络环境造成的等若干问题

累了，真的"
9,智子不会回答,"这导致网络越来越虚假了，所以能不相信就不要相信。

以前打游戏我能一眼分辨Ai，

现在我都认不出来敌人和队友是不是AI了"
10,摸金宝鹅,这些东西对adobe 公司地位的撼动还是挺大的。
11,雕梨捞米,AI能高效率地凭空创造素材，期待以后的3D游戏，里面的环境和人物模型都能真随机创造出来。
12,我也不是撒旦的女儿,第一个有点可怕啊。。伪造证据什么的怎么辨别啊。。
13,鲨鱼辣椒Origin,已经学不过来了 躺下了
14,tiger哗啦,ai芯片真就是未来啊
