摇滚,电子音乐,乡村,民谣,轻音乐,古典,新世纪,雷鬼,布鲁斯,节奏与布鲁斯,原声,世界音乐,儿童音乐,拉丁,朋克,金属,爵士,嘻哈,唱作人,娱乐/舞台,其他
4466000,834000,13000,40000,1130,17000,580,13000,1100,924000,445000,370000,153000,5499,11000,33000,62000,771000,15000,744,221000
1854000,678000,12000,30000,340,9434,400,7579,1068,893000,20000,64000,9906,4815,6554,16000,6837,618000,14000,735,208000
1736000,653000,10000,5249,184,5693,296,6362,716,408000,13000,24000,6442,4424,5238,8891,5926,538000,9681,714,114000
1391000,618000,9939,2332,97,5509,268,4935,486,305000,11000,14000,3831,3741,2728,5461,2857,490000,5877,651,82000
579000,531000,5133,1822,73,5235,256,2403,402,121000,7144,9823,2914,2367,2343,4208,2767,445000,3878,647,74000
382000,517000,5103,1724,60,4460,251,1753,292,57000,6691,6202,2488,1385,1004,3189,2610,414000,3152,599,66000
369000,425000,5002,1619,48,4414,220,1624,278,49000,6536,3504,2026,1098,978,2226,2566,401000,2652,482,53000
308000,323000,4915,1200,37,3972,200,1546,274,49000,3647,3257,1983,1053,807,2162,1738,396000,2467,391,47000
234000,319000,4246,1170,30,3626,197,1408,262,46000,3581,3125,1951,898,773,2147,1570,362000,2444,353,43000
232000,265000,3812,906,,3574,164,1196,242,43000,3450,2752,1933,893,599,2071,1358,218000,1909,321,41000
193000,252000,3771,861,,3093,134,1028,231,39000,3011,2363,1918,859,590,1996,1334,207000,1870,302,39000
172000,213000,3748,859,,3064,121,937,212,37000,2328,2244,1915,844,542,1853,1204,201000,1741,295,38000
156000,166000,3584,826,,2860,120,784,205,30000,2238,2060,1529,808,510,1799,1196,196000,1137,251,36000
154000,156000,3062,779,,2817,97,776,195,26000,2125,1921,1432,750,480,1757,1174,174000,1127,239,36000
118000,146000,2960,767,,2784,97,738,195,26000,1998,1907,1405,723,372,1395,1146,150000,943,219,28000
94000,141000,2771,731,,2767,81,694,175,25000,1661,1632,1293,723,359,1198,1128,126000,883,218,26000
88000,128000,2512,705,,2752,74,650,167,25000,1653,1588,1282,705,358,1183,1039,122000,878,208,18000
63000,114000,2437,630,,2476,72,645,158,24000,1557,1525,1245,517,304,1171,977,115000,815,204,18000
60000,98000,2434,603,,2372,71,595,153,19000,1450,1433,1231,513,244,1102,937,110000,782,199,17000
57000,90000,2377,592,,2007,68,589,149,19000,1405,1420,1131,473,240,1083,932,63000,731,191,16000
49000,84000,2191,569,,1854,63,567,146,18000,1309,1364,1081,458,231,1033,926,62000,728,190,15000
48000,80000,2182,549,,1682,63,557,142,17000,1267,1356,1016,447,194,1029,747,53000,727,181,15000
48000,70000,2115,498,,1669,62,533,139,16000,1251,1328,957,436,189,994,733,51000,724,175,14000
43000,69000,2027,467,,1532,58,528,123,15000,1225,1290,898,424,188,994,727,48000,657,175,14000
41000,68000,2008,436,,1502,57,486,117,14000,1163,1171,874,418,187,979,714,48000,649,174,14000
40000,57000,1957,405,,1459,53,409,107,12000,1075,1021,837,413,182,948,708,46000,644,170,14000
40000,56000,1911,399,,1367,51,377,107,11000,981,919,756,399,177,895,692,45000,632,168,13000
39000,55000,1856,378,,1359,46,365,104,10000,977,875,717,383,177,884,672,38000,606,159,12000
34000,53000,1840,368,,1347,41,358,96,10000,958,864,694,380,174,839,597,32000,572,157,12000
33000,52000,1704,362,,1316,38,352,92,10000,953,800,664,369,148,828,573,32000,570,153,12000
31000,51000,1699,340,,1226,35,340,91,9475,939,784,656,356,134,791,558,32000,565,151,12000
31000,45000,1674,340,,1219,30,331,87,9166,933,784,541,354,131,750,554,31000,542,143,11000
29000,44000,1673,331,,1157,24,329,82,8427,930,770,537,348,128,742,548,30000,538,140,11000
28000,43000,1618,309,,1148,22,326,81,7968,919,716,485,335,122,722,547,29000,527,137,11000
27000,42000,1584,307,,1134,18,315,79,7766,887,687,472,318,119,712,545,27000,510,135,10000
26000,38000,1532,286,,1077,17,304,77,7488,876,668,470,316,119,702,527,27000,503,134,9931
26000,34000,1508,273,,1049,12,279,70,7449,860,649,465,309,115,656,521,27000,496,134,9781
25000,32000,1494,262,,1038,,278,67,7406,836,648,465,304,113,570,521,25000,494,129,9318
25000,32000,1475,240,,1014,,272,67,7382,819,627,451,299,112,561,511,24000,483,126,8826
25000,30000,1455,240,,1000,,259,66,7306,817,616,434,298,110,558,477,24000,480,124,8669
24000,30000,1421,239,,993,,252,65,6909,797,605,424,297,110,553,450,24000,474,121,7846
24000,27000,1409,232,,985,,243,61,6553,768,599,409,295,97,552,443,23000,471,120,7840
24000,24000,1394,229,,981,,236,59,6257,764,576,404,288,97,535,398,23000,459,118,7823
22000,23000,1369,226,,959,,232,56,6078,744,571,401,286,94,530,397,23000,452,116,7785
20000,23000,1357,225,,958,,230,54,5986,744,567,391,279,85,499,380,22000,447,116,7457
19000,23000,1353,224,,928,,224,53,5401,741,565,377,276,84,488,378,21000,408,111,7150
19000,23000,1309,219,,922,,222,51,5307,740,555,366,272,84,479,375,21000,405,110,6993
18000,22000,1290,205,,852,,218,51,5302,736,545,360,262,83,477,374,20000,401,107,6966
18000,22000,1281,205,,835,,212,50,5098,726,543,352,262,82,471,354,19000,395,107,6930
17000,21000,1277,200,,834,,207,49,5071,723,536,344,260,79,470,338,19000,381,105,6929
17000,20000,1239,192,,828,,194,45,5039,690,536,333,249,75,462,334,18000,362,103,6831
16000,18000,1220,187,,805,,186,44,4996,671,534,329,242,74,456,327,18000,355,102,6464
16000,16000,1206,185,,804,,173,42,4907,656,516,324,240,72,456,325,18000,346,102,6231
16000,16000,1181,185,,762,,167,41,4877,647,509,319,237,69,439,318,17000,342,100,6209
15000,15000,1134,183,,756,,166,40,4759,642,507,310,234,67,436,318,17000,341,99,6141
15000,15000,1119,182,,754,,165,40,4582,640,491,309,234,65,435,308,17000,326,99,5931
15000,15000,1119,180,,749,,165,39,4211,636,483,307,232,64,433,307,17000,326,98,5915
15000,15000,1097,174,,739,,163,38,4175,627,472,305,229,58,427,307,17000,313,97,5606
15000,14000,1096,172,,717,,162,38,4087,619,468,305,227,58,423,305,17000,306,95,5470
14000,14000,1094,168,,707,,161,37,3880,609,457,300,227,58,422,293,16000,304,95,5421
14000,14000,1063,166,,705,,157,37,3465,575,457,298,225,54,419,291,16000,294,93,5346
14000,13000,1057,163,,699,,154,37,3395,554,457,287,219,53,400,288,16000,294,93,5325
13000,13000,1054,161,,698,,149,36,3228,553,455,286,216,50,391,284,14000,292,93,5239
12000,13000,1051,160,,688,,149,36,3212,540,440,285,215,49,384,282,13000,290,93,5043
12000,13000,1036,158,,688,,147,36,3162,529,440,273,214,49,381,280,13000,282,93,4917
12000,13000,1036,157,,685,,145,34,3118,523,437,271,210,49,376,280,12000,275,91,4616
11000,13000,1020,157,,664,,141,34,3104,522,429,268,208,48,367,278,12000,272,91,4345
11000,12000,1006,157,,650,,140,33,3095,520,418,266,200,48,361,269,12000,266,91,4171
11000,12000,998,157,,641,,139,32,2948,519,411,264,198,48,352,269,12000,260,91,4135
11000,11000,990,154,,639,,139,32,2931,513,411,259,197,45,342,268,11000,258,90,4079
11000,11000,964,154,,623,,139,31,2928,512,410,258,194,45,339,266,11000,256,87,4039
11000,11000,940,151,,621,,137,31,2848,507,403,256,194,44,327,263,11000,256,86,4001
