视频标题,up主,观看量,弹幕数,点赞数,投币数,收藏数,转发数
《崩坏：星穹铁道》镜流角色PV——「剑出无回」,崩坏星穹铁道,3052000.0,19000.0,265000.0,135000.0,63000.0,59000.0
当你导师突然辞职,异次元流落的一只羊,2680000.0,4564,325000.0,59000.0,88000.0,18000.0
卷凉皮,老王日记油画,3180000.0,4862,455000.0,51000.0,24000.0,7354
艾特你们的老师！哈哈哈！,脱缰凯Kk,4128000.0,2988,321000.0,15000.0,59000.0,3445
你别笑！我很认真在玩！,高斯Goh,2860000.0,15000.0,227000.0,90000.0,64000.0,2996
当我给女朋友模仿她开车的样子,真子日记,4837000.0,5008,435000.0,25000.0,22000.0,31000.0
央视记者“拜师”我爸，绝学尽数传授！,龙腾虎跃龙兽医,1952000.0,3361,289000.0,34000.0,12000.0,1797
谁成全了德军的“逃跑计划”？【神奇组织11】,小约翰可汗,2947000.0,17000.0,210000.0,98000.0,36000.0,5377
帅小伙花一天时间烤一块肉，能有多好吃？,记录生活的蛋黄派,3351000.0,10000.0,425000.0,163000.0,46000.0,4383
《原神》莱欧斯利角色PV——「必要流程」,原神,2030000.0,6653,186000.0,51000.0,30000.0,31000.0
【冰冰vlog.012】顶级快乐！当一天小熊猫饲养员是什么体验,吃花椒的喵酱,1395000.0,4550,147000.0,65000.0,19000.0,11000.0
我亲爱的宝贝，欢迎你来到这个世界，愿你平安健康，明天会更好！,红警HBK08,922000.0,11000.0,185000.0,179000.0,15000.0,2527
假如在月球买房......,金牌厨柜官方号,3686000.0,3222,434000.0,35000.0,62000.0,11000.0
AI越来越“变态”了，10大AI神器闻所未闻！,老麦的工具库,1451000.0,1626,88000.0,39000.0,158000.0,17000.0
设计界最浪的柜子被我完美复刻，海浪一样的柜门浪到可以随意变形,大嘴王改造,2785000.0,307,231000.0,11000.0,30000.0,2277
我倒要看看谁还敢说ai不懂人情世故？,带你玩ai,1325000.0,5453,133000.0,9963,36000.0,37000.0
我就是连麦高三退学给暴叔干下播的学生本人 我希望各位能够看完我的一些故事和经历,Still-23,2676000.0,3689,147000.0,49000.0,21000.0,8459
农民路上晒粮，司机扎了车胎！该怎么办？,央视农业,2120000.0,4916,272000.0,38000.0,18000.0,5432
这个系列必须有我一席之地,宅宅的动物园,1697000.0,967,321000.0,160000.0,16000.0,3318
省流侠的哥哥，省钱侠登场！！！！,chuhooLee秋豪,2190000.0,2239,371000.0,47000.0,33000.0,6529
《打撒把》,梵影纪录,4538000.0,7134,453000.0,75000.0,124000.0,29000.0
国庆后的减脂餐，掉秤嘎嘎快,阿文今天吃什么丶,4095000.0,1655,441000.0,5772,26000.0,39000.0
『这或许就是努力的意义吧』,未来小哆啦,2713000.0,2383,265000.0,40000.0,77000.0,14000.0
起飞 吓到主人的程度,豆包的记事本,2263000.0,461,359000.0,7528,45000.0,17000.0
看到最后泪奔了！10万人评出8.9高分的必看动画电影，这就是我们想要的爱！,白又白说,2022000.0,2845,168000.0,29000.0,84000.0,20000.0
本色出演,给芒果核梳毛呀,4348000.0,457,370000.0,9385,35000.0,14000.0
外国大哥手臂上的中国字…笑不活了！,侃哥侃英语,4921000.0,3490,190000.0,1785,16000.0,1693
《纯天然绿色大米》,开箱嘤嘤怪,4802000.0,8337,244000.0,7749,21000.0,5353
师傅教徒弟做蛋炒饭,灶台小子,1104000.0,1814,122000.0,8662,35000.0,3475
宝石青提蛋糕，“斥巨资”做出来的。,日食记,1257000.0,956,110000.0,28000.0,25000.0,11000.0
爆肝71部电影！我找出了龙叔的一百种赶路方式！,粗中有细的计数板,2172000.0,1861,141000.0,38000.0,36000.0,1426
我们从何而来，又到哪去？| 人类历史长河中，各流的回答！,青蛙刀圣_1993,1103000.0,12000.0,67000.0,35000.0,44000.0,7265
资深老粉和萌新粉。,papi酱,1867000.0,2822,244000.0,22000.0,9114,11000.0
全员惨死！黑暗童谣鼻祖！永恒经典推理名篇《无人生还》,培根悖论唠唠嗑,1662000.0,4694,75000.0,15000.0,39000.0,2953
“茅台西凤五粮液，吃光人民无所谓！”33年前的电影就敢这么大胆前卫！《想入非非》,一目十影,2346000.0,8830,115000.0,18000.0,28000.0,8599
画质越来越清晰 童年却越来越模糊,菁柠动漫城,631000.0,2036,92000.0,11000.0,27000.0,2155
“今生种花，来世漂亮”,煎饼果仔呀,1247000.0,619,203000.0,19000.0,21000.0,3566
一个男人支撑着一个二百多人的家庭，这是一个真实的故事！,李娃娃在这,1306000.0,710,188000.0,47000.0,21000.0,1330
（火花任务）我的生活，你的梦,Toihoa,4227000.0,1445,470000.0,19000.0,61000.0,48000.0
《打完这把粉丝-1》,阳光男孩小丑熊,1435000.0,1915,146000.0,24000.0,5255,2884
是什么理由让我决定来阿勒泰打工的,大超同学在路上,1009000.0,529,121000.0,5765,22000.0,8088
今天体验上海洗浴自助餐文化，只干饭不洗浴,吃不饱仨战士,2001000.0,1303,145000.0,2719,5015,4148
三健客挑战8捆福建线面！,干饭三健客,2873000.0,4082,172000.0,18000.0,8049,9343
此刻想学太极的心达到了巅峰……,打太极的小赵,1874000.0,610,298000.0,9999,56000.0,5613
《戴耳机看口型》打电话,国际宫and乡土莉,1152000.0,660,116000.0,5885,9666,12000.0
接头忘暗号、发报丢密码，菜鸟间谍怎么才能戏耍德军？,太阳星sunstar,1227000.0,3874,94000.0,6368,21000.0,3456
动态视频｜影视民工生存指南02：剧组里的“省钱利器”？苹果箱里真的不装苹果！,影视飓风,3291000.0,323,196000.0,3498,16000.0,500
英国人有味觉吗？英国菜怎么那么难吃！,知名相声演员BBBBB大王,2387000.0,6735,165000.0,24000.0,19000.0,25000.0
好看爱看有用,必憨宝,898000.0,239,75000.0,4369,66000.0,2106
【原创动画】《爪巴爪巴》用过的玻璃瓶子不要扔，洗一洗还能……,李合适Riggy,999000.0,600,217000.0,32000.0,53000.0,14000.0
而你我的朋友，你是真正的英雄!,绝对正儀,2161000.0,1783,167000.0,14000.0,13000.0,1595
到底什么才是人生最重要的事啊？！,狂阿弥_,582000.0,1375,63000.0,55000.0,20000.0,8006
只有最后一个有用,猪坚强jqsg999,1431000.0,841,197000.0,15000.0,21000.0,1733
各省人的夜生活有多丰富？,粤知一二,3246000.0,4267,285000.0,5319,22000.0,4292
超励志！真实改编！落魄拳王乞讨街头，低谷逆风翻盘！,摩斯神探,3318000.0,3578,173000.0,7510,38000.0,882
云南跟团游六天五晚过程中，我们和云南文旅一起发现的坑处理结果。祝愿我们的旅游环境越来越好！,superB太,7943000.0,12000.0,1020000.0,264000.0,66000.0,34000.0
当 代 热 门 游 戏 队 友 现 状,进击的金厂长,1353000.0,907,126000.0,24000.0,14000.0,968
